Job_id,Easy Apply,Avg_Salary,Min_Salary,Max_Salary
173,,94000.0,48000.0,92000.0
174,,94000.0,48000.0,92000.0
175,,94000.0,48000.0,92000.0
176,,94000.0,48000.0,92000.0
177,,94000.0,48000.0,92000.0
178,,94000.0,48000.0,92000.0
179,1.0,101500.0,59000.0,85000.0
180,,101500.0,59000.0,85000.0
181,,101500.0,59000.0,85000.0
182,,101500.0,59000.0,85000.0
183,,101500.0,59000.0,85000.0
184,,101500.0,59000.0,85000.0
185,,101500.0,59000.0,85000.0
186,,101500.0,59000.0,85000.0
187,,101500.0,59000.0,85000.0
188,,101500.0,59000.0,85000.0
189,,101500.0,59000.0,85000.0
190,,101500.0,59000.0,85000.0
191,,101500.0,59000.0,85000.0
192,,101500.0,59000.0,85000.0
193,,101500.0,59000.0,85000.0
194,,101500.0,59000.0,85000.0
195,,101500.0,59000.0,85000.0
196,1.0,101500.0,59000.0,85000.0
197,,101500.0,59000.0,85000.0
198,,101500.0,59000.0,85000.0
199,,101500.0,59000.0,85000.0
200,,101500.0,59000.0,85000.0
201,,101500.0,59000.0,85000.0
202,,101500.0,59000.0,85000.0
203,1.0,101500.0,59000.0,85000.0
204,,101500.0,59000.0,85000.0
205,,101500.0,59000.0,85000.0
206,,101500.0,59000.0,85000.0
207,,101500.0,59000.0,85000.0
208,,101500.0,59000.0,85000.0
209,,101500.0,59000.0,85000.0
210,,134500.0,69000.0,131000.0
211,,134500.0,69000.0,131000.0
212,,134500.0,69000.0,131000.0
213,,134500.0,69000.0,131000.0
214,,134500.0,69000.0,131000.0
215,,134500.0,69000.0,131000.0
216,,134500.0,69000.0,131000.0
217,,134500.0,69000.0,131000.0
218,,134500.0,69000.0,131000.0
219,,134500.0,69000.0,131000.0
220,,134500.0,69000.0,131000.0
221,,134500.0,69000.0,131000.0
222,,134500.0,69000.0,131000.0
223,,134500.0,69000.0,131000.0
224,,134500.0,69000.0,131000.0
225,,134500.0,69000.0,131000.0
226,,134500.0,69000.0,131000.0
227,,134500.0,69000.0,131000.0
228,,134500.0,69000.0,131000.0
229,,134500.0,69000.0,131000.0
230,,134500.0,69000.0,131000.0
231,,134500.0,69000.0,131000.0
232,,134500.0,69000.0,131000.0
233,,134500.0,69000.0,131000.0
234,1.0,134500.0,69000.0,131000.0
235,,134500.0,69000.0,131000.0
236,,134500.0,69000.0,131000.0
237,,134500.0,69000.0,131000.0
238,,134500.0,69000.0,131000.0
239,,134500.0,69000.0,131000.0
240,,106500.0,55000.0,103000.0
241,,106500.0,55000.0,103000.0
242,,106500.0,55000.0,103000.0
243,,106500.0,55000.0,103000.0
244,,106500.0,55000.0,103000.0
245,,106500.0,55000.0,103000.0
246,1.0,106500.0,55000.0,103000.0
247,,106500.0,55000.0,103000.0
248,,106500.0,55000.0,103000.0
249,,106500.0,55000.0,103000.0
250,,106500.0,55000.0,103000.0
251,,106500.0,55000.0,103000.0
252,,106500.0,55000.0,103000.0
253,,106500.0,55000.0,103000.0
254,,106500.0,55000.0,103000.0
255,,106500.0,55000.0,103000.0
256,,106500.0,55000.0,103000.0
257,,106500.0,55000.0,103000.0
258,,98500.0,51000.0,95000.0
259,,98500.0,51000.0,95000.0
260,,98500.0,51000.0,95000.0
261,,98500.0,51000.0,95000.0
262,,98500.0,51000.0,95000.0
263,,98500.0,51000.0,95000.0
264,,98500.0,51000.0,95000.0
265,,98500.0,51000.0,95000.0
266,,98500.0,51000.0,95000.0
267,,98500.0,51000.0,95000.0
268,,122000.0,72000.0,100000.0
269,,122000.0,72000.0,100000.0
270,,122000.0,72000.0,100000.0
271,,122000.0,72000.0,100000.0
272,,122000.0,72000.0,100000.0
273,,122000.0,72000.0,100000.0
274,,122000.0,72000.0,100000.0
275,,122000.0,72000.0,100000.0
276,,122000.0,72000.0,100000.0
277,,122000.0,72000.0,100000.0
278,,122000.0,72000.0,100000.0
279,,122000.0,72000.0,100000.0
280,,122000.0,72000.0,100000.0
